IRank   Geography                    Urban Area                              Estimate        Miles    Kilometers      Mile       Kilometer    (See Note)
733    China                        Kuerle, XJ                                 690,000         50        130         13,800       5,300      C:B
733    China                        Langfang, HEB-TJ-BJ                        690,000         77        199          9,000       3,500      C:B
733    China                        Nanyang, HEN                               690,000         70        181          9,900       3,800      C:B
733    China                        Shizuishan, NX                             690,000         90        233          7,700       3,000      C:B
733    China                        Xinyu, JX                                  690,000         51        132         13,500       5,200      C:B
733    China                        Yueyang, HUN                               690,000         24          62        28,800      11,100      C:B
733    Philippines                  Cagayan de Oro                             690,000         27          70        25,600       9,900      C:B
733    United States                Sarasota, FL                               690,000        327        847          2,000         800      A:A
741    Brazil                       Londrina                                   685,000         70        181          9,800       3,800      C:B
741    Morocco                      Meknes                                     685,000         20          52        34,300      13,200      C:B
741    United Arab Emirates         Al Ain                                     685,000        180        466          3,800       1,500      L:B
744    Brazil                       Sao Jose dos Campos                        680,000         65        168         10,500       4,000      C:B
744    China                        Hegang, HL                                 680,000         45        117         15,100       5,800      C:B
744    China                        Shaoyang, HUN                              680,000         41        106         16,600       6,400      C:B
744    India                        Jammu, JK                                  680,000         27          70        25,200       9,700      A:B
742    Japan                        Okayama                                    680,000         75        194          9,100       3,500      C:B
742    Japan                        Shizuoka                                   680,000         50        130         13,600       5,300      C:B
744    Libya                        Misratah                                   680,000         85        220          8,000       3,100      D:B
744    Netherlands                  Utrecht                                    680,000        110        285          6,200       2,400      C:B
744    Nigeria                      Osogbo                                     680,000         40        104         17,000       6,600      W:B
744    Ukraine                      Krivoi Rog                                 680,000         64        166         10,600       4,100      D:B
754    China                        Binzhou, SD                                675,000         80        207          8,400       3,300      C:B
754    China                        Haicheng (Anshan), LN                      675,000         21          54        32,100      12,400      C:B
754    Germany                      Nuremberg                                  675,000         90        233          7,500       2,900      C:B
754    India                        Malegaon, MH                               675,000         12          31        56,300      21,700      A:B
752    Japan                        Utsunomiya                                 675,000         85        220          7,900       3,100      C:B
754    South Korea                  Jeonju                                     675,000         33          85        20,500       7,900      D:B
760    China                        Tongxiang (Jiaxing), ZJ                    670,000         37          96        18,100       7,000      C:B
760    India                        Belgaum, KA                                670,000         18          47        37,200      14,400      A:B
760    India                        Mangalore, KA                              670,000         25          65        26,800      10,300      A:B
760    Indonesia                    Banjarmasin                                670,000         20          52        33,500      12,900      C:B
760    United States                Cape Coral, FL                             670,000        330        855          1,600         600      A:A
765    Iraq                         Kirkuk                                     665,000         32          83        20,800       8,000      D:B
765    United States                Baton Rouge, LA                            665,000        367        951          1,600         600      A:A
767    Brazil                       Ribeirao Preto                             660,000         43        111         15,300       5,900      C:B
767    Egypt                        Port Said                                  660,000         14          36        47,100      18,200      D:B
767    Germany                      Bremen                                     660,000        105        272          6,300       2,400      C:B
767    India                        Bhavnagar, GJ                              660,000         13          34        50,800      19,600      A:B
767    Tanzania                     Zanzibar                                   660,000         25          65        26,400      10,200      C:B
772    China: Macau SAR             Macau                                      655,000         10          26        65,500      25,300      A:B
772    India                        Nellore, AP                                655,000         16          41        40,900      15,800      A:B
772    South Korea                  Cheongju                                   655,000         22          57        29,800      11,500      C:B
772    South Sudan                  Juba                                       655,000         56        145         11,700       4,500      F:B
772    United Kingdom               Bristol                                    655,000         56        144         11,100       4,300      A:A
777    China                        Guigang, GX                                650,000         36          93        18,100       7,000      C:B
775    Japan                        Mito                                       650,000        125        324          5,200       2,000      C:B
777    United States                Springfield, MA-CT                         650,000        349        904          1,800         700      A:A
780    China                        Changde, HUN                               645,000         50        130         12,900       5,000      C:B
780    China                        Chuzhou, AH                                645,000         64        166         10,100       3,900      L:B
780    China                        Lufeng (Shanwei), GD                       645,000         18          47        35,800      13,800      C:B
780    Dominican Republic           Santiago                                   645,000         40        104         16,100       6,200      C:B
780    United States                Knoxville, TN                              645,000        438       1,134         1,300         500      A:A
785    China                        Bozhou, AH                                 640,000         32          83        20,000       7,700      C:B
785    China                        Maoming, GD                                640,000         23          60        27,800      10,700      C:B
785    Iran                         Yazd                                       640,000         80        207          8,000       3,100      C:B
785    Palestine                    Gaza                                       640,000         17          44        37,600      14,500      D:B
785    Russia                       Makhachkala                                640,000         53        137         12,100       4,700      C:B
790    Albania                      Tirana                                     635,000         33          85        19,200       7,400      C:B
790    Brazil                       Uberlandia                                 635,000         51        132         12,500       4,800      C:B
790    China                        Qingyuan, GD                               635,000         65        168          9,800       3,800      C:B
790    China                        Suizhou, HUB                               635,000         39        101         16,300       6,300      C:B
794    Bangladesh                   Sylhet                                     630,000         19          49        33,200      12,800      C:B
794    China                        Fuyang (Hangzhou), ZJ                      630,000         44        114         14,300       5,500      C:B
794    China                        Jining, SD                                 630,000         29          75        21,700       8,400      C:B
794    China                        Liaocheng, SD                              630,000         50        130         12,600       4,900      C:B
794    India                        Durgapur, WB                               630,000         19          49        33,200      12,800      A:B
794    India                        Jamnagar, GJ                               630,000         18          47        35,000      13,500      A:B
794    North Korea                  Chongjin                                   630,000         30          78        21,000       8,100      D:B
794    Russia                       Tyumen                                     630,000         47        122         13,400       5,200      D:B
794    Spain                        Palma                                      630,000         65        168          9,700       3,700      C:B
794    United States                Columbia, SC                               630,000        380        984          1,400         600      A:A
794    Zambia                       Kitwe                                      630,000         46        119         13,700       5,300      C:B
805    China                        Leshan, SC                                 625,000         30          78        20,800       8,000      C:B
805    India                        Hubli, KL                                  625,000         20          52        31,300      12,100      F:B
805    Iran                         Rasht                                      625,000         24          62        26,000      10,100      C:B
805    Mozambique                   Nampula                                    625,000         25          65        25,000       9,700      D:B
805    United States                Charleston, SC                             625,000        293        759          1,900         700      A:A
805    United States                Ogden, UT                                  625,000        218        565          2,500       1,000      A:A
811    Argentina                    Mar del Plata                              620,000         42        109         14,800       5,700      C:B
811    China                        Qujing, YN                                 620,000         52        135         11,900       4,600      C:B
811    Poland                       Wrocław                                    620,000         48        124         12,900       5,000      C:B
814    Angola                       Lubango                                    615,000         84        218          7,300       2,800      C:B
814    China                        Akesu, XJ                                  615,000         35          91        17,600       6,800      C:B
814    China                        Fuyang, AH                                 615,000         36          93        17,100       6,600      C:B
814    China                        Yongkang (Jinhua), ZJ                      615,000         86        223          7,200       2,800      C:B
814    China                        Zhoushan, ZJ                               615,000         50        130         12,300       4,700      C:B
814    Italy                        Genoa                                      615,000         30          78        20,500       7,900      C:B
814    United States                Albany, NY                                 615,000        296        767          2,000         800      A:A
814    United States                Colorado Springs, CO                       615,000        188        487          3,000       1,100      A:A
822    China                        Huludao, LN                                610,000         49        127         12,400       4,800      C:B
822    China                        Yangjiang, GD                              610,000         38          98        16,100       6,200      C:B
822    Indonesia                    Pontianak                                  610,000         24          62        25,400       9,800      D:B
822    Latvia                       Riga                                       610,000        100        259          6,100       2,400      D:B
822    Russia                       Barnaul                                    610,000         43        111         14,200       5,500      C:B
822    Russia                       Izhevsk                                    610,000         55        142         11,100       4,300      C:B
822    United States                Murrieta, CA                               610,000        162        420          2,700       1,100      A:A
822    United States                Provo, UT                                  610,000        169        438          2,900       1,100      A:A
830    Australia                    Gold Coast, QLD-NSW                        605,000        235        609          2,300         900      A:A
830    China                        Tianmen, HUB                               605,000         19          49        31,800      12,300      C:B
830    Italy                        Padova                                     605,000         72        186          8,400       3,200      D:B
830    Mexico                       Reynosa                                    605,000         70        181          8,600       3,300      C:B
830    Morocco                      Agadir                                     605,000         35          91        17,300       6,700      C:B
830    Saudi Arabia                 Taif                                       605,000         70        181          8,600       3,300      D:B
830    Switzerland                  Geneva                                     605,000         70        181          8,600       3,300      C:B
830    United Kingdom               Belfast                                    605,000         62        161          9,700       3,700      D:A
830    United States                Bakersfield, CA                            605,000        138        357          3,800       1,500      A:A
839    China                        Heze, SD                                   600,000         48        124         12,500       4,800      C:B
839    China                        Wanzhou, CQ                                600,000         16          41        37,500      14,500      C:B
839    Germany                      Leipzig                                    600,000         95        246          6,300       2,400      C:B
839    India                        Bokaro Steel City, JH                      600,000         19          49        31,600      12,200      A:B
839    India                        Gulbarga, KA                               600,000         15          39        40,000      15,400      A:B
839    India                        Jhansi, UP                                 600,000         16          41        37,500      14,500      A:B
839    India                        Kolhapur, MAH                              600,000         16          41        37,500      14,500      A:B
839    Indonesia                    Balikpapan                                 600,000         22          57        27,300      10,500      A:B
847    China                        Laiwu, SD                                  595,000         58        150         10,300       4,000      C:B
847    China                        Mianyang, SC                               595,000         25          65        23,800       9,200      C:B
847    China                        Pizhou (Xuxhou), JS                        595,000         31          80        19,200       7,400      C:B
847    China                        Siping, JL                                 595,000         41        106         14,500       5,600      C:B
847    Colombia                     Ibague                                     595,000         13          34        45,800      17,700      C:B
847    India                        Cherthala, KL                              595,000         20          52        29,800      11,500      A:B
847    India                        Erode, TN                                  595,000         20          52        29,800      11,500      A:B
847    India                        Muzaffarnagar, UP                          595,000         11          28        54,100      20,900      A:B
847    India                        Raurkela, OR                               595,000         33          85        18,000       7,000      A:B
847    Mexico                       Tuxtla Gutierrez                           595,000         54        140         11,000       4,300      C:B
847    Sweden                       Goteborg                                   595,000         79        205          6,900       2,700      A:A
858    Algeria                      Constantine                                590,000         46        119         12,800       5,000      C:B
858    Angola                       Huambo                                     590,000         50        130         11,800       4,600      C:B
858    Brazil                       Luziana-Gama, GO-DF                        590,000        100        259          5,900       2,300      C:B
858    Egypt                        Suez                                       590,000         28          73        21,100       8,100      D:B
858    India                        Ajmer, RJ                                  590,000         12          31        49,200      19,000      A:B
858    Russia                       Ulyanovsk                                  590,000         35          91        16,900       6,500      C:B
858    United States                Grand Rapids, MI                           590,000        281        728          2,000         800      A:A
865    Bangladesh                   Bogra                                      585,000         15          39        39,000      15,100      D:B
865    China                        Xiantao, HUB                               585,000         35          91        16,700       6,500      C:B
865    India                        Firozabad, UP                              585,000         11          28        53,200      20,500      A:B
865    Nigeria                      Akure                                      585,000         45        117         13,000       5,000      W:B
865    Pakistan                     Sukkur                                     585,000         17          44        34,400      13,300      D:B
865    Russia                       Vladivostok                                585,000         35          91        16,700       6,500      C:B
865    Syria                        Al-Hasakah                                 585,000         15          39        39,000      15,100      D:B
872    Argentina                    Santa Fe                                   580,000         45        117         12,900       5,000      C:B
872    China                        Deyang, SC                                 580,000         48        124         12,100       4,700      C:B
872    China                        Dezhou, SD-HEB                             580,000         68        176          8,500       3,300      C:B
872    China                        Huaihua, HUN                               580,000         25          65        23,200       9,000      C:B
872    China                        Pingxiang, JX                              580,000         25          65        23,200       9,000      C:B
872    China                        Taixing (Taizhou), JS                      580,000         34          88        17,100       6,600      C:B
872    China                        Wuhai, NM                                  580,000         80        207          7,300       2,800      C:B
872    China                        Zhoukou, HEN                               580,000         39        101         14,900       5,700      C:B
872    Colombia                     Pereira                                    580,000         17          44        34,100      13,200      C:B
859    France                       Toulon                                     580,000        295        764          1,900         700      A:A
872    Guinea-Bissau                Bissau                                     580,000         27          70        21,500       8,300      W:B
872    Indonesia                    Jambi                                      580,000         30          78        19,300       7,500      C:B
872    Israel                       Beer Sheba                                 580,000         21          54        27,600      10,700      D:B
872    Jamaica                      Kingston                                   580,000         40        104         14,500       5,600      D:B
870    Japan                        Kagoshima                                  580,000         46        119         12,600       4,900      C:B
872    Nigeria                      Sokoto                                     580,000         34          88        17,100       6,600      W:B
872    Pakistan                     Sialkot                                    580,000         20          52        29,000      11,200      D:B
872    Peru                         Chiclayo                                   580,000         20          52        29,000      11,200      C:B
872    Philippines                  Bacolod                                    580,000         32          83        18,100       7,000      C:B
872    South Korea                  Cheonan                                    580,000         22          57        26,400      10,200      C:B
892    Brazil                       Feira de Santana                           575,000         30          78        19,200       7,400      C:B
892    China                        Anqing, AH                                 575,000         40        104         14,400       5,600      C:B
892    China                        Taizhou, JS                                575,000         45        117         12,800       4,900      C:B
892    China                        Xinyang, HEN                               575,000         29          75        19,800       7,700      C:B
892    China                        Zhaoqing, GD                               575,000         25          65        23,000       8,900      C:B
892    China                        Zhuji (Shaoxing), ZJ                       575,000         45        117         12,800       4,900      C:B
892    India                        Kurnool, AP                                575,000         12          31        47,900      18,500      A:B
892    Iran                         Kerman                                     575,000         45        117         12,800       4,900      C:B
892    Malaysia                     Seremban                                   575,000         60        155          9,600       3,700      C:B
892    Saudi Arabia                 Buraydah                                   575,000         80        207          7,200       2,800      D:B
892    Turkey                       Samsun                                     575,000         26          67        22,100       8,500      D:B
903    Argentina                    Salta                                      570,000         42        109         13,600       5,200      C:B
903    China                        Jiujiang, JX                               570,000         42        109         13,600       5,200      C:B
903    China                        Suqian, JS                                 570,000         95        246          6,000       2,300      C:B
903    China                        Yibin, SC                                  570,000         22          57        25,900      10,000      C:B
903    India                        Tirunelveli, TN                            570,000         20          52        28,500      11,000      A:B
903    Indonesia                    Serang                                     570,000         25          65        22,800       8,800      C:B
903    Iran                         Hamadan                                    570,000         22          57        25,900      10,000      D:B
903    Mexico                       Oaxaca                                     570,000         84        218          6,800       2,600      C:B
903    Mexico                       Villahermosa                               570,000         44        114         13,000       5,000      C:B
903    Russia                       Irkutsk                                    570,000         55        142         10,400       4,000      C:B
903    United States                Akron, OH                                  570,000        325        842          1,800         700      A:A
914    China                        Jixi, HL                                   565,000         53        137         10,700       4,100      C:B
914    China                        Jiyuan, HEN                                565,000        100        259          5,700       2,200      C:B
914    China                        Liyang (Changzhou), JS                     565,000         31          80        18,200       7,000      C:B
914    China                        Xuchang, HEN                               565,000         26          67        21,700       8,400      C:B
914    China                        Yiyang, HUN                                565,000         20          52        28,300      10,900      C:B
914    Iran                         Zahedan                                    565,000         35          91        16,100       6,200      C:B
914    Yemen                        Al-Hudaydah                                565,000         12          31        47,100      18,200      D:B
921    Belgium                      Liege                                      560,000        110        285          5,100       2,000      C:B
921    China                        Songyuan, JL                               560,000         36          93        15,600       6,000      C:B
921    Germany                      Mannheim                                   560,000         85        220          6,600       2,500      C:B
921    India                        Nanded Waghala, MH                         560,000         17          44        32,900      12,700      A:B
921    Russia                       Khabarovsk                                 560,000         75        194          7,500       2,900      C:B
921    Saudi Arabia                 Tabuk                                      560,000         70        181          8,000       3,100      C:B
921    Turkey                       Urfa                                       560,000         16          41        35,000      13,500      D:B
928    Angola                       Benguela                                   555,000         40        104         13,900       5,400      C:B
928    China                        Anshun, GZ                                 555,000         16          41        34,700      13,400      C:B
928    India                        Sangali, MH                                555,000         18          47        30,800      11,900      A:B
928    India                        Tirupati, AP                               555,000         23          60        24,100       9,300      A:B
928    Philippines                  Iolio City                                 555,000         25          65        22,200       8,600      C:B
928    Russia                       Yaroslavl                                  555,000         90        233          6,200       2,400      C:B
934    Bangladesh                   Rajshahi                                   550,000         12          31        45,800      17,700      C:B
934    Brazil                       Joinville                                  550,000         70        181          7,900       3,000      C:B
934    Germany                      Aachen                                     550,000        105        272          5,200       2,000      C:B
937    China                        Qitaihe, HL                                545,000         46        119         11,800       4,600      C:B
937    China                        Renqiu (Cangzhou), HEB                     545,000         26          67        21,000       8,100      C:B
937    Gambia                       Banjul                                     545,000        115        298          4,700       1,800      C:B
937    Germany                      Saarbrucken                                545,000         90        233          6,100       2,300      C:B
937    India                        Ujjain, MP                                 545,000         16          41        34,100      13,200      A:B
937    North Korea                  Hamhung                                    545,000         19          49        28,700      11,100      D:B
937    Thailand                     Udon Thani                                 545,000         28          73        19,500       7,500      D:B
944    China                        Cangzhou, HEB                              540,000         50        130         10,800       4,200      C:B
944    China                        Chaoyang, LN                               540,000         49        127         11,000       4,300      C:B
944    Djibouti                     Djibouti                                   540,000         15          39        36,000      13,900      D:B
944    Iran                         Ardabil                                    540,000         24          62        22,500       8,700      C:B
942    Japan                        Matsuyama                                  540,000         45        117         12,000       4,600      C:B
944    Pakistan                     Sheikhupura                                540,000         16          41        33,800      13,000      D:B
944    Poland                       Poznan                                     540,000         85        220          6,400       2,500      D:B
944    Russia                       Khabarovsk                                 540,000        110        285          4,900       1,900      C:B
944    Russia                       Novokuznetsk                               540,000         41        106         13,200       5,100      D:B
944    Russia                       Tomsk                                      540,000         40        104         13,500       5,200      C:B
944    Spain                        Santa Cruz de Tenerife                     540,000         42        109         12,900       5,000      C:B
944    United Kingdom               Leicester                                  540,000         42        109         12,100       4,700      A:A
956    India                        Kayamkulam, KL                             535,000         16          41        33,400      12,900      A:B
956    India                        Mathura, UP                                535,000         18          47        29,700      11,500      A:B
956    Russia                       Orenburg                                   535,000         26          67        20,600       7,900      C:B
956    Zimbabwe                     Bulawayo                                   535,000         90        233          5,900       2,300      C:B
960    Brazil                       Juiz de Fora                               530,000         40        104         13,300       5,100      D:B
960    China: Taiwan                Hsinchu                                    530,000         45        117         11,800       4,500      C:B
960    Mexico                       Durango                                    530,000         49        127         10,800       4,200      D:B
960    Morocco                      Tetouan                                    530,000         20          52        26,500      10,200      D:B
960    Russia                       Kemerovo                                   530,000         41        106         12,900       5,000      C:B
960    Turkey                       Denizli                                    530,000         37          96        14,300       5,500      D:B
960    Uzbekistan                   Namangan                                   530,000         55        142          9,600       3,700      F:B
967    Afghanistan                  Kandahar                                   525,000         25          65        21,000       8,100      C:B
967    India                        Bilaspur, CH                               525,000         22          57        23,900       9,200      A:B
967    India                        Udaipur, RJ                                525,000         28          73        18,800       7,200      A:B
967    India                        Vellore, TN                                525,000         18          47        29,200      11,300      A:B
967    Iran                         Arak                                       525,000         23          60        22,800       8,800      C:B
967     Italy                       Bologna                                    525,000         60         155         8,800        3,400      C:B
967     Mexico                      Tampico                                    525,000         85         220         6,200        2,400      C:B
967     Russia                      Astrakhan                                  525,000         46         119        11,400        4,400      C:B
967     South Korea                 Pohang                                     525,000         35          91        15,000        5,800      C:B
967     Switzerland                 Basel                                      525,000         77         199         6,800        2,600      C:B
967     Trinidad & Tobago           Port of Spain                              525,000        110         285         4,800        1,800      F:B
978     India                       Imphal, MN                                 520,000         25          65        20,800        8,000      A:B
978     Mexico                      Culiacan                                   520,000         68         176         7,600        3,000      C:B
978     Nigeria                     Abeokuta                                   520,000         24          62        21,700        8,400     W:B
974     Nigeria                     Bauchi                                     520,000         34          88        15,300        5,900     W:B
978     Pakistan                    Larkana                                    520,000         10          26        52,000      20,100       D:B
978     Russia                      Ryazan                                     520,000         50         130        10,400        4,000      C:B
978     United States               Worcester, MA-CT                           520,000        304         787         1,600         600       A:A
985     China                       Sanya, HA                                  515,000         59         153         8,700        3,400      C:B
985     Congo (Dem. Rep.)           Likasi                                     515,000         25          65        20,600        8,000      D:B
970     France                      Grenoble                                   515,000        198         513         2,600        1,000      A:A
985     Ghana                       Sekondi Takoradi                           515,000         35          91        14,700        5,700     W:B
985     India                       Gaya, BR                                   515,000         12          31        42,900      16,600       A:B
985     India                       Jalgaon, MH                                515,000         15          39        34,300      13,300       A:B
985     India                       Patiala, HR                                515,000         35          91        14,700        5,700      A:B
985     India                       Rajahmundry, AP                            515,000         21          54        24,500        9,500      A:B
985     India                       Thoothukkudi, TN                           515,000         50         130        10,300        4,000      A:B
985     Iraq                        Hillah                                     515,000         19          49        27,100      10,500       D:B
985     Iraq                        Nasiriyah                                  515,000         22          57        23,400        9,000      D:B
985     Macedonia                   Skopje                                     515,000         35          91        14,700        5,700      C:B
985     Russia                      Tula                                       515,000         50         130        10,300        4,000      C:B
985     United States               Toledo, OH-MI                              515,000        240         622         2,100         800       A:A
999     China                       Bayan Nur, NM                              510,000         52         135         9,800        3,800      C:B
999     Egypt                       Al Mahallah al Kubra                       510,000         10          26        51,000      19,700       C:B
999     Egypt                       Al Mansurah                                510,000         13          34        39,200      15,100       D:B
984     France                      Douai-Lens                                 510,000        187         484         2,700        1,000      A:A
996     Japan                       Kanazawa                                   510,000         53         137         9,600        3,700      C:B
999     Lithuania                   Vilnius                                    510,000         85         220         6,000        2,300      D:B
999     Mexico                      Xalapa                                     510,000         29          75        17,600        6,800      C:B
999     Russia                      Naberezhnye Tchelny                        510,000         50         130        10,200        3,900      C:B
999     South Africa                Bloemfontein                               510,000         68         176         7,500        2,900      D:B
999     Spain                       Murcia                                     510,000         38          98        13,400        5,200      C:B
1009    Brazil                      Maringa                                    505,000         60         155         8,400        3,200      C:B
1009    China                       Feicheng (Taian), SD                       505,000         26          67        19,400        7,500      C:B
1009    China                       Qianjiang, HUB                             505,000         24          62        21,000        8,100      C:B
1009    Colombia                    Santa Marta                                505,000         11          28        45,900      17,700       C:B
1009    Congo (Dem. Rep.)           Kolwezi                                    505,000         19          49        26,600      10,300       D:B
1009    Kazakhstan                  Karagandy                                  505,000        113         293         4,500        1,700      D:B
1009    Russia                      Penza                                      505,000         47         122        10,700        4,100      C:B
1009    Zambia                      Ndola                                      505,000         36          93        14,000        5,400      C:B
1017    Benin                       Porto Novo                                 500,000         39         101        12,800        5,000     W:B
1017    China                       Lhasa, TIB                                 500,000         40         104        12,500        4,800      C:B
1017    Russia                      Lipetsk                                    500,000         41         106        12,200        4,700      C:B
1017    United Kingdom              Edinburgh                                  500,000         46         120         9,800        3,800      A:A
1017    United States               Des Moines, IA                             500,000        201         521         2,200         900       A:A
1017    United States               Wichita, KS                                500,000        215         557         2,200         800       A:A
